ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,denominator,estimate,CA_RR,version
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06065042512,425.12,Riverside,06065,Southern California,14,59,342,17.3,1,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037234500,2345,Los Angeles,06037,Southern California,14,288,2305,12.5,0.7225433526,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554514,5545.14,Los Angeles,06037,Southern California,14,85,215,39.5,2.283236994,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037900501,9005.01,Los Angeles,06037,Southern California,14,91,472,19.3,1.115606936,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003208,32.08,San Diego,06073,San Diego,09,65,688,9.4,0.5433526012,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037900503,9005.03,Los Angeles,06037,Southern California,14,120,591,20.3,1.173410405,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06067006900,69,Sacramento,06067,Sacramento Area,08,0,284,0,0,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06025012301,123.01,Imperial,06025,Southern California,14,0,1171,0,0,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037212700,2127,Los Angeles,06037,Southern California,14,122,459,26.6,1.537572254,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06001431200,4312,Alameda,06001,Bay Area,01,114,361,31.6,1.826589595,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037900504,9005.04,Los Angeles,06037,Southern California,14,68,358,19,1.098265896,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037212800,2128,Los Angeles,06037,Southern California,14,103,460,22.4,1.294797688,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003211,32.11,San Diego,06073,San Diego,09,24,172,14,0.8092485549,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037541604,5416.04,Los Angeles,06037,Southern California,14,68,765,8.9,0.5144508671,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554518,5545.18,Los Angeles,06037,Southern California,14,67,242,27.7,1.601156069,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003212,32.12,San Diego,06073,San Diego,09,53,296,17.9,1.034682081,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071001000,10,San Bernardino,06071,Southern California,14,19,316,6,0.3468208092,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06001432200,4322,Alameda,06001,Bay Area,01,91,353,25.8,1.49132948,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003213,32.13,San Diego,06073,San Diego,09,111,262,42.4,2.450867052,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037576401,5764.01,Los Angeles,06037,Southern California,14,3,224,1.3,0.07514450867,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071001100,11,San Bernardino,06071,Southern California,14,25,253,9.9,0.5722543353,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06019000200,2,Fresno,06019,San Joaquin Valley,10,27,428,6.3,0.3641618497,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037900604,9006.04,Los Angeles,06037,Southern California,14,72,682,10.6,0.612716763,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554521,5545.21,Los Angeles,06037,Southern California,14,152,354,42.9,2.479768786,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003214,32.14,San Diego,06073,San Diego,09,208,659,31.6,1.826589595,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06077003111,31.11,San Joaquin,06077,San Joaquin Valley,10,29,270,10.7,0.6184971098,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06067000700,7,Sacramento,06067,Sacramento Area,08,18,535,3.4,0.1965317919,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06075061000,610,San Francisco,06075,Bay Area,01,49,363,13.5,0.7803468208,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003301,33.01,San Diego,06073,San Diego,09,51,572,8.9,0.5144508671,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554522,5545.22,Los Angeles,06037,Southern California,14,33,225,14.7,0.8497109827,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003302,33.02,San Diego,06073,San Diego,09,127,1807,7,0.4046242775,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06001402400,4024,Alameda,06001,Bay Area,01,144,1170,12.3,0.710982659,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071010300,103,San Bernardino,06071,Southern California,14,137,808,17,0.9826589595,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037542101,5421.01,Los Angeles,06037,Southern California,14,64,833,7.7,0.4450867052,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037542102,5421.02,Los Angeles,06037,Southern California,14,79,825,9.6,0.5549132948,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06065044200,442,Riverside,06065,Southern California,14,39,637,6.1,0.3526011561,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06001406400,4064,Alameda,06001,Bay Area,01,102,582,17.5,1.011560694,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06071010402,104.02,San Bernardino,06071,Southern California,14,99,571,17.3,1,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06013365001,3650.01,Contra Costa,06013,Bay Area,01,214,1698,12.6,0.7283236994,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037228600,2286,Los Angeles,06037,Southern California,14,8,507,1.6,0.09248554913,Tue Jun 12 12:05:41 2018
